Dave DeLong;ZZ9 Plural Z Alpha;227377
Joachim Sauer;Linz, Austria;226879
Dennis Williamson;United States;226683
John Feminella;Charlottesville, VA;226553
Brian Agnew;London, United Kingdom;221685
Oliver Charlesworth;London, United Kingdom;220997
Brian Campbell;Montpelier, VT, USA;220818
Sean Patrick Floyd;Seattle, WA, United States;220249
Michael Berkowski;Minneapolis, MN;217466
Mark Ransom;Minneapolis, MN;216582
Sampson;Florida;216321
erickson;United States;214977
Phrogz;Boulder, CO;214281
Matthew Flaschen;Philadelphia, PA;212496
Mike Seymour;United Kingdom;210276
Oleg;Wachtberg, Germany;208544
Dimitre Novatchev;United States;206877
42-;Alameda, CA;205102
ghostdog74;NULL;204957
Henk Holterman;Netherlands;204542
Justin Niessner;Alburtis, PA;204316
Frank van Puffelen;San Francisco, CA;204013
manojlds;Chennai, India;203919
jalf;NULL;202613
Frédéric Hamidi;France;201867
Jakub Narębski;Toruń, Kuiavia-Pomerania Poland;201828
Aaron Bertrand;Rhode Island;201350
Bryan Oakley;Choctaw, OK;200878
Sotirios Delimanolis;San Francisco, CA;200571
axtavt;Moscow, Russia;200113
John La Rooy;Melbourne, Victoria, Australia;199990
John Woo;Dipolog, Philippines;199688
Blender;NULL;199098
Vinko Vrsalovic;Madrid, Spain;197893
Chuck;NULL;197676
LukeH;Cardiff, United Kingdom;197256
David Thomas;Cambridge, United Kingdom;196540
poke;Dortmund, Germany;196199
Ted Hopp;Gaithersburg, MD;194701
Matthieu M.;Amsterdam, Netherlands;193884
Tomas Petricek;Cambridge, United Kingdom;193628
Jigar Joshi;San Francisco, CA;193363
DSM;Canada;192088
Rob Napier;Raleigh, NC;191360
Martin York;Seattle, WA;190759
jason;NULL;189429
RichieHindle;Hertford, United Kingdom;189022
Thilo;Singapore;188136
Cody Gray;Austin, TX;186155
phihag;Düsseldorf, Germany;185873
Andomar;Netherlands;185550
caf;Australia;185543
trashgod;United States;184295
Craig Ringer;Western Australia, Australia;184184
Damien_The_Unbeliever;United Kingdom;184000
Justin Cave;Rochester Hills, MI;183390
Taryn;Arizona;183110
zerkms;Wellington, New Zealand;182188
Ryan McGeary;Lafayette, CO, United States;182111
dogbane;London, United Kingdom;181463
Sergey Berezovskiy;Minsk, Belarus;181246
